PassengerId,Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,FamilySize,IsAlone
118,0,32.0,1,0,15.85,0,0,1,0,1,0,0,1,2,1
119,1,26.0,0,0,18.7875,0,0,1,0,1,1,0,0,1,0
120,1,16.0,0,0,7.75,0,0,1,1,0,0,1,0,1,0
121,1,40.0,0,0,31.0,1,0,0,0,1,1,0,0,1,0
122,0,24.0,0,0,7.05,0,0,1,0,1,0,0,1,1,0
123,1,35.0,0,0,21.0,0,1,0,1,0,0,0,1,1,0
124,0,22.0,0,0,7.25,0,0,1,0,1,0,0,1,1,0
125,0,30.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
127,1,31.0,1,0,113.275,1,0,0,1,0,1,0,0,2,1
128,1,27.0,0,0,7.925,0,0,1,1,0,0,0,1,1,0
129,0,42.0,1,0,27.0,0,1,0,0,1,0,0,1,2,1
130,1,32.0,0,0,76.2917,1,0,0,1,0,1,0,0,1,0
131,0,30.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
132,1,16.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
133,0,27.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
134,0,51.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
136,1,38.0,1,0,90.0,1,0,0,0,1,0,0,1,2,1
137,0,22.0,0,0,9.35,0,0,1,0,1,0,0,1,1,0
138,1,19.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
139,0,20.5,0,0,7.25,0,0,1,0,1,0,0,1,1,0
140,0,18.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
142,1,35.0,1,0,83.475,1,0,0,1,0,0,0,1,2,1
143,0,29.0,0,0,7.775,0,0,1,0,1,0,0,1,1,0
144,0,59.0,0,0,13.5,0,1,0,0,1,0,0,1,1,0
145,1,5.0,4,2,31.3875,0,0,1,1,0,0,0,1,7,1
146,0,24.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
148,0,44.0,1,0,26.0,0,1,0,0,1,0,0,1,2,1
149,1,8.0,0,2,26.25,0,1,0,1,0,0,0,1,3,1
150,0,19.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
151,0,33.0,0,0,12.275,0,1,0,0,1,0,0,1,1,0
154,0,29.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
155,0,22.0,0,0,7.125,0,0,1,0,1,0,0,1,1,0
156,0,30.0,0,0,7.225,0,0,1,0,1,1,0,0,1,0
157,0,44.0,2,0,90.0,1,0,0,0,1,0,1,0,3,1
158,0,25.0,0,0,7.775,0,0,1,1,0,0,0,1,1,0
159,1,24.0,0,2,14.5,0,1,0,1,0,0,0,1,3,1
160,1,37.0,1,1,52.5542,1,0,0,0,1,0,0,1,3,1
161,0,54.0,1,0,26.0,0,1,0,0,1,0,0,1,2,1
163,0,29.0,1,1,10.4625,0,0,1,1,0,0,0,1,3,1
164,0,62.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
165,0,30.0,1,0,16.1,0,0,1,0,1,0,0,1,2,1
166,0,41.0,0,2,20.2125,0,0,1,1,0,0,0,1,3,1
167,1,29.0,0,2,15.2458,0,0,1,1,0,1,0,0,3,1
169,1,30.0,0,0,86.5,1,0,0,1,0,0,0,1,1,0
170,1,35.0,0,0,512.3292,1,0,0,1,0,1,0,0,1,0
171,1,50.0,0,1,26.0,0,1,0,1,0,0,0,1,2,1
173,1,3.0,4,2,31.3875,0,0,1,0,1,0,0,1,7,1
174,0,52.0,1,1,79.65,1,0,0,0,1,0,0,1,3,1
175,0,40.0,0,0,0.0,1,0,0,0,1,0,0,1,1,0
177,0,36.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
178,0,16.0,4,1,39.6875,0,0,1,0,1,0,0,1,6,1
179,1,25.0,1,0,7.775,0,0,1,0,1,0,0,1,2,1
180,1,58.0,0,1,153.4625,1,0,0,1,0,0,0,1,2,1
181,1,35.0,0,0,135.6333,1,0,0,1,0,0,0,1,1,0
183,1,25.0,0,0,0.0,0,0,1,0,1,0,0,1,1,0
184,1,41.0,0,1,19.5,0,1,0,1,0,0,0,1,2,1
185,0,37.0,0,1,29.7,1,0,0,0,1,1,0,0,2,1
187,1,63.0,1,0,77.9583,1,0,0,1,0,0,0,1,2,1
188,0,45.0,0,0,7.75,0,0,1,1,0,0,0,1,1,0
190,0,7.0,4,1,29.125,0,0,1,0,1,0,1,0,6,1
191,1,35.0,1,1,20.25,0,0,1,1,0,0,0,1,3,1
192,0,65.0,0,0,7.75,0,0,1,0,1,0,1,0,1,0
193,0,28.0,0,0,7.8542,0,0,1,0,1,0,0,1,1,0
194,0,16.0,0,0,9.5,0,0,1,0,1,0,0,1,1,0
195,1,19.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
197,0,33.0,0,0,8.6625,0,0,1,0,1,1,0,0,1,0
198,1,30.0,0,0,9.5,0,0,1,0,1,0,0,1,1,0
199,0,22.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
200,1,42.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
201,1,22.0,0,0,7.75,0,0,1,1,0,0,1,0,1,0
202,1,26.0,0,0,78.85,1,0,0,1,0,0,0,1,1,0
203,1,19.0,1,0,91.0792,1,0,0,1,0,1,0,0,2,1
204,0,36.0,0,0,12.875,0,1,0,0,1,1,0,0,1,0
205,0,24.0,0,0,8.85,0,0,1,1,0,0,0,1,1,0
206,0,24.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
208,0,23.5,0,0,7.2292,0,0,1,0,1,1,0,0,1,0
209,0,2.0,1,2,151.55,1,0,0,1,0,0,0,1,4,1
211,1,50.0,0,1,247.5208,1,0,0,1,0,1,0,0,2,1
214,0,19.0,0,0,0.0,0,0,1,0,1,0,0,1,1,0
217,1,0.92,1,2,151.55,1,0,0,0,1,0,0,1,4,1
219,1,17.0,1,0,108.9,1,0,0,1,0,1,0,0,2,1
220,0,30.0,1,0,24.0,0,1,0,0,1,1,0,0,2,1
221,1,30.0,0,0,56.9292,1,0,0,1,0,1,0,0,1,0
222,1,24.0,0,0,83.1583,1,0,0,1,0,1,0,0,1,0
223,1,18.0,2,2,262.375,1,0,0,1,0,1,0,0,5,1
224,0,26.0,1,1,26.0,0,1,0,1,0,0,0,1,3,1
225,0,28.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
226,0,43.0,1,1,26.25,0,1,0,0,1,0,0,1,3,1
227,1,26.0,0,0,7.8542,0,0,1,1,0,0,0,1,1,0
228,1,24.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
229,0,54.0,0,0,14.0,0,1,0,0,1,0,0,1,1,0
230,1,31.0,0,2,164.8667,1,0,0,1,0,0,0,1,3,1
231,1,40.0,1,1,134.5,1,0,0,1,0,1,0,0,3,1
232,0,22.0,0,0,7.25,0,0,1,0,1,0,0,1,1,0
233,0,27.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
234,1,30.0,0,0,12.35,0,1,0,1,0,0,1,0,1,0
235,1,22.0,1,1,29.0,0,1,0,1,0,0,0,1,3,1
237,1,36.0,0,0,135.6333,1,0,0,1,0,1,0,0,1,0
238,0,61.0,0,0,6.2375,0,0,1,0,1,0,0,1,1,0
239,1,36.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
240,1,31.0,1,1,20.525,0,0,1,1,0,0,0,1,3,1
241,1,16.0,0,1,57.9792,1,0,0,1,0,1,0,0,2,1
243,0,45.5,0,0,28.5,1,0,0,0,1,0,0,1,1,0
244,0,38.0,0,1,153.4625,1,0,0,0,1,0,0,1,2,1
245,0,16.0,2,0,18.0,0,0,1,0,1,0,0,1,3,1
248,0,29.0,1,0,66.6,1,0,0,0,1,0,0,1,2,1
249,1,41.0,0,0,134.5,1,0,0,1,0,1,0,0,1,0
250,1,45.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
251,0,45.0,0,0,35.5,1,0,0,0,1,0,0,1,1,0
252,1,2.0,1,1,26.0,0,1,0,0,1,0,0,1,3,1
253,1,24.0,3,2,263.0,1,0,0,1,0,0,0,1,6,1
254,0,28.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
255,0,25.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
256,0,36.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
257,1,24.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
258,1,40.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
260,1,3.0,1,1,15.9,0,0,1,0,1,0,0,1,3,1
261,0,42.0,0,0,8.6625,0,0,1,0,1,0,0,1,1,0
262,0,23.0,0,0,9.225,0,0,1,0,1,0,0,1,1,0
264,0,15.0,1,1,7.2292,0,0,1,0,1,1,0,0,3,1
265,0,25.0,1,0,17.8,0,0,1,0,1,0,0,1,2,1
267,0,28.0,0,0,9.5,0,0,1,0,1,0,0,1,1,0
268,1,22.0,0,1,55.0,1,0,0,1,0,0,0,1,2,1
269,0,38.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
272,0,40.0,1,4,27.9,0,0,1,0,1,0,0,1,6,1
273,0,29.0,1,0,27.7208,0,1,0,0,1,1,0,0,2,1
274,0,45.0,0,1,14.4542,0,0,1,1,0,1,0,0,2,1
275,0,35.0,0,0,7.05,0,0,1,0,1,0,0,1,1,0
277,0,30.0,0,0,7.25,0,0,1,0,1,0,0,1,1,0
278,1,60.0,1,0,75.25,1,0,0,1,0,1,0,0,2,1
281,1,24.0,0,0,69.3,1,0,0,1,0,1,0,0,1,0
282,1,25.0,1,0,55.4417,1,0,0,0,1,1,0,0,2,1
283,0,18.0,1,0,6.4958,0,0,1,0,1,0,0,1,2,1
284,0,19.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
285,0,22.0,0,0,135.6333,1,0,0,0,1,1,0,0,1,0
286,0,3.0,3,1,21.075,0,0,1,1,0,0,0,1,5,1
288,1,22.0,0,0,7.25,0,0,1,1,0,0,0,1,1,0
289,0,27.0,0,2,211.5,1,0,0,0,1,1,0,0,3,1
290,0,20.0,0,0,4.0125,0,0,1,0,1,1,0,0,1,0
291,0,19.0,0,0,7.775,0,0,1,0,1,0,0,1,1,0
292,1,42.0,0,0,227.525,1,0,0,1,0,1,0,0,1,0
293,1,1.0,0,2,15.7417,0,0,1,1,0,1,0,0,3,1
294,0,32.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
295,1,35.0,1,0,52.0,1,0,0,1,0,0,0,1,2,1
297,0,18.0,0,0,73.5,0,1,0,0,1,0,0,1,1,0
298,0,1.0,5,2,46.9,0,0,1,0,1,0,0,1,8,1
299,1,36.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
301,1,17.0,0,0,12.0,0,1,0,1,0,1,0,0,1,0
302,1,36.0,1,2,120.0,1,0,0,0,1,0,0,1,4,1
303,1,21.0,0,0,7.7958,0,0,1,0,1,0,0,1,1,0
304,0,28.0,2,0,7.925,0,0,1,0,1,0,0,1,3,1
305,1,23.0,1,0,113.275,1,0,0,1,0,1,0,0,2,1
306,1,24.0,0,2,16.7,0,0,1,1,0,0,0,1,3,1
307,0,22.0,0,0,7.7958,0,0,1,0,1,0,0,1,1,0
308,0,31.0,0,0,7.8542,0,0,1,1,0,0,0,1,1,0
309,0,46.0,0,0,26.0,0,1,0,0,1,0,0,1,1,0
310,0,23.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
311,1,28.0,0,0,12.65,0,1,0,1,0,0,0,1,1,0
312,1,39.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
313,0,26.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
314,0,21.0,1,0,9.825,0,0,1,1,0,0,0,1,2,1
315,0,28.0,1,0,15.85,0,0,1,0,1,0,0,1,2,1
316,0,20.0,0,0,8.6625,0,0,1,1,0,0,0,1,1,0
317,0,34.0,1,0,21.0,0,1,0,0,1,0,0,1,2,1
318,0,51.0,0,0,7.75,0,0,1,0,1,0,0,1,1,0
319,1,3.0,1,1,18.75,0,1,0,0,1,0,0,1,3,1
320,0,21.0,0,0,7.775,0,0,1,0,1,0,0,1,1,0
324,1,33.0,1,0,90.0,1,0,0,1,0,0,1,0,2,1
326,1,44.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
328,1,34.0,1,1,32.5,0,1,0,1,0,0,0,1,3,1
329,1,18.0,0,2,13.0,0,1,0,1,0,0,0,1,3,1
330,0,30.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
331,0,10.0,0,2,24.15,0,0,1,1,0,0,0,1,3,1
333,0,21.0,0,0,7.7333,0,0,1,0,1,0,1,0,1,0
334,0,29.0,0,0,7.875,0,0,1,0,1,0,0,1,1,0
335,0,28.0,1,1,14.4,0,0,1,1,0,0,0,1,3,1
336,0,18.0,1,1,20.2125,0,0,1,0,1,0,0,1,3,1
338,1,28.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
339,1,19.0,0,0,26.0,0,1,0,1,0,0,0,1,1,0
341,1,32.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
342,1,28.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
344,1,42.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
345,0,17.0,0,0,7.125,0,0,1,0,1,0,0,1,1,0
346,0,50.0,1,0,55.9,1,0,0,0,1,0,0,1,2,1
347,1,14.0,1,2,120.0,1,0,0,1,0,0,0,1,4,1
348,0,21.0,2,2,34.375,0,0,1,1,0,0,0,1,5,1
349,1,24.0,2,3,18.75,0,1,0,1,0,0,0,1,6,1
350,0,64.0,1,4,263.0,1,0,0,0,1,0,0,1,6,1
351,0,31.0,0,0,10.5,0,1,0,0,1,0,0,1,1,0
352,1,45.0,1,1,26.25,0,1,0,1,0,0,0,1,3,1
353,0,20.0,0,0,9.5,0,0,1,0,1,0,0,1,1,0
354,0,25.0,1,0,7.775,0,0,1,0,1,0,0,1,2,1
355,1,28.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
357,1,4.0,0,2,81.8583,1,0,0,0,1,0,0,1,3,1
358,1,13.0,0,1,19.5,0,1,0,1,0,0,0,1,2,1
359,1,34.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
360,1,5.0,2,1,19.2583,0,0,1,1,0,1,0,0,4,1
361,1,52.0,0,0,30.5,1,0,0,0,1,0,0,1,1,0
362,0,36.0,1,2,27.75,0,1,0,0,1,0,0,1,4,1
364,0,30.0,0,0,27.75,1,0,0,0,1,1,0,0,1,0
365,1,49.0,1,0,89.1042,1,0,0,0,1,1,0,0,2,1
367,1,29.0,0,0,7.8958,0,0,1,0,1,1,0,0,1,0
368,0,65.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
370,1,50.0,0,0,10.5,0,1,0,1,0,0,0,1,1,0
372,1,48.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
373,0,34.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
374,0,47.0,0,0,38.5,1,0,0,0,1,0,0,1,1,0
375,0,48.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
377,0,38.0,0,0,7.05,0,0,1,0,1,0,0,1,1,0
379,0,56.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
381,1,0.75,2,1,19.2583,0,0,1,1,0,1,0,0,4,1
383,0,38.0,0,0,8.6625,0,0,1,0,1,0,0,1,1,0
384,1,33.0,1,2,27.75,0,1,0,1,0,0,0,1,4,1
385,1,23.0,0,0,13.7917,0,1,0,1,0,1,0,0,1,0
386,0,22.0,0,0,9.8375,0,0,1,1,0,0,0,1,1,0
388,0,34.0,1,0,21.0,0,1,0,0,1,0,0,1,2,1
389,0,29.0,1,0,7.0458,0,0,1,0,1,0,0,1,2,1
390,0,22.0,0,0,7.5208,0,0,1,0,1,0,0,1,1,0
391,1,2.0,0,1,12.2875,0,0,1,1,0,0,0,1,2,1
392,0,9.0,5,2,46.9,0,0,1,0,1,0,0,1,8,1
394,0,50.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
395,1,63.0,0,0,9.5875,0,0,1,1,0,0,0,1,1,0
396,1,25.0,1,0,91.0792,1,0,0,0,1,1,0,0,2,1
398,1,35.0,1,0,90.0,1,0,0,1,0,0,0,1,2,1
399,0,58.0,0,0,29.7,1,0,0,0,1,1,0,0,1,0
400,0,30.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
401,1,9.0,1,1,15.9,0,0,1,0,1,0,0,1,3,1
403,0,21.0,0,0,7.25,0,0,1,0,1,0,0,1,1,0
404,0,55.0,0,0,30.5,1,0,0,0,1,0,0,1,1,0
405,0,71.0,0,0,49.5042,1,0,0,0,1,1,0,0,1,0
406,0,21.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
408,1,54.0,1,0,78.2667,1,0,0,1,0,1,0,0,2,1
410,0,25.0,1,2,151.55,1,0,0,1,0,0,0,1,4,1
411,0,24.0,0,0,7.7958,0,0,1,0,1,0,0,1,1,0
412,0,17.0,0,0,8.6625,0,0,1,0,1,0,0,1,1,0
413,0,21.0,0,0,7.75,0,0,1,1,0,0,1,0,1,0
415,0,37.0,0,0,9.5875,0,0,1,1,0,0,0,1,1,0
416,1,16.0,0,0,86.5,1,0,0,1,0,0,0,1,1,0
417,0,18.0,1,0,108.9,1,0,0,0,1,1,0,0,2,1
418,1,33.0,0,2,26.0,0,1,0,1,0,0,0,1,3,1
420,0,28.0,0,0,22.525,0,0,1,0,1,0,0,1,1,0
421,1,26.0,0,0,56.4958,0,0,1,0,1,0,0,1,1,0
422,1,29.0,0,0,7.75,0,0,1,0,1,0,1,0,1,0
424,1,36.0,0,0,26.2875,1,0,0,0,1,0,0,1,1,0
425,1,54.0,1,0,59.4,1,0,0,1,0,1,0,0,2,1
426,0,24.0,0,0,7.4958,0,0,1,0,1,0,0,1,1,0
427,0,47.0,0,0,34.0208,1,0,0,0,1,0,0,1,1,0
428,1,34.0,0,0,10.5,0,1,0,1,0,0,0,1,1,0
430,1,36.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
431,0,32.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
432,1,30.0,0,0,93.5,1,0,0,1,0,0,0,1,1,0
433,0,22.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
435,1,44.0,0,1,57.9792,1,0,0,1,0,1,0,0,2,1
437,0,40.5,0,0,7.75,0,0,1,0,1,0,1,0,1,0
438,1,50.0,0,0,10.5,0,1,0,1,0,0,0,1,1,0
440,0,39.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
441,0,23.0,2,1,11.5,0,1,0,0,1,0,0,1,4,1
442,1,2.0,1,1,26.0,0,1,0,1,0,0,0,1,3,1
444,0,17.0,1,1,7.2292,0,0,1,0,1,1,0,0,3,1
446,0,30.0,0,0,8.6625,0,0,1,1,0,0,0,1,1,0
447,1,7.0,0,2,26.25,0,1,0,1,0,0,0,1,3,1
448,0,45.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
449,1,30.0,0,0,106.425,1,0,0,1,0,1,0,0,1,0
451,1,22.0,0,2,49.5,1,0,0,1,0,1,0,0,3,1
452,1,36.0,0,2,71.0,1,0,0,1,0,0,0,1,3,1
453,0,9.0,4,2,31.275,0,0,1,1,0,0,0,1,7,1
454,0,11.0,4,2,31.275,0,0,1,1,0,0,0,1,7,1
455,1,32.0,1,0,26.0,0,1,0,0,1,0,0,1,2,1
456,0,50.0,1,0,106.425,1,0,0,0,1,1,0,0,2,1
457,0,64.0,0,0,26.0,1,0,0,0,1,0,0,1,1,0
458,1,19.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
460,0,33.0,1,1,20.525,0,0,1,0,1,0,0,1,3,1
461,1,8.0,1,1,36.75,0,1,0,0,1,0,0,1,3,1
462,1,17.0,0,2,110.8833,1,0,0,0,1,1,0,0,3,1
463,0,27.0,0,0,26.0,0,1,0,0,1,0,0,1,1,0
465,1,22.0,0,0,7.225,0,0,1,0,1,1,0,0,1,0
466,1,22.0,0,0,7.775,0,0,1,1,0,0,0,1,1,0
467,0,62.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
468,1,48.0,1,0,39.6,1,0,0,1,0,1,0,0,2,1
470,1,39.0,1,1,79.65,1,0,0,1,0,0,0,1,3,1
471,1,36.0,1,0,17.4,0,0,1,1,0,0,0,1,2,1
473,0,40.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
474,0,28.0,0,0,13.5,0,1,0,0,1,0,0,1,1,0
477,0,24.0,2,0,24.15,0,0,1,0,1,0,0,1,3,1
