PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone
73,1,2,1,40.0,0,0,15.75,S,1,1
74,0,3,0,26.0,0,0,7.775,S,1,1
75,0,3,0,17.0,0,0,8.6625,S,1,1
76,0,3,0,1.0,4,1,39.6875,S,6,0
77,1,3,0,9.0,0,2,20.525,S,3,0
79,0,3,1,45.0,1,4,27.9,S,6,0
81,0,3,0,28.0,0,0,56.4958,S,1,1
82,0,1,0,61.0,0,0,33.5,S,1,1
83,0,3,0,4.0,4,1,29.125,Q,6,0
84,1,3,1,1.0,1,1,11.1333,S,3,0
85,0,3,0,21.0,0,0,7.925,S,1,1
86,0,1,0,56.0,0,0,30.6958,C,1,1
87,0,3,0,18.0,1,1,7.8542,S,3,0
89,0,1,1,50.0,0,0,28.7125,C,1,1
90,0,2,0,30.0,0,0,13.0,S,1,1
91,0,3,0,36.0,0,0,0.0,S,1,1
94,0,3,0,9.0,4,2,31.3875,S,7,0
95,1,2,0,1.0,2,1,39.0,S,4,0
96,1,3,1,4.0,0,2,22.025,S,3,0
99,1,1,0,45.0,0,0,26.55,S,1,1
100,0,3,0,40.0,1,1,15.5,Q,3,0
101,0,3,0,36.0,0,0,7.8958,S,1,1
102,1,2,1,32.0,0,0,13.0,S,1,1
103,0,2,0,19.0,0,0,13.0,S,1,1
104,1,3,1,19.0,1,0,7.8542,S,2,0
105,1,2,0,3.0,1,1,26.0,S,3,0
106,1,1,1,44.0,0,0,27.7208,C,1,1
107,1,1,1,58.0,0,0,146.5208,C,1,1
109,0,3,0,42.0,0,1,8.4042,S,2,0
111,0,2,1,24.0,0,0,13.0,S,1,1
112,0,3,0,28.0,0,0,9.5,S,1,1
114,0,3,0,34.0,0,0,6.4958,S,1,1
115,0,3,0,45.5,0,0,7.225,C,1,1
116,1,3,0,18.0,0,0,8.05,S,1,1
117,0,3,1,2.0,0,1,10.4625,S,2,0
118,0,3,0,32.0,1,0,15.85,S,2,0
119,1,3,0,26.0,0,0,18.7875,C,1,1
120,1,3,1,16.0,0,0,7.75,Q,1,1
121,1,1,0,40.0,0,0,31.0,C,1,1
122,0,3,0,24.0,0,0,7.05,S,1,1
123,1,2,1,35.0,0,0,21.0,S,1,1
124,0,3,0,22.0,0,0,7.25,S,1,1
125,0,2,0,30.0,0,0,13.0,S,1,1
127,1,1,1,31.0,1,0,113.275,C,2,0
128,1,3,1,27.0,0,0,7.925,S,1,1
129,0,2,0,42.0,1,0,27.0,S,2,0
130,1,1,1,32.0,0,0,76.2917,C,1,1
131,0,2,0,30.0,0,0,10.5,S,1,1
132,1,3,0,16.0,0,0,8.05,S,1,1
133,0,2,0,27.0,0,0,13.0,S,1,1
134,0,3,0,51.0,0,0,8.05,S,1,1
136,1,1,0,38.0,1,0,90.0,S,2,0
137,0,3,0,22.0,0,0,9.35,S,1,1
138,1,2,0,19.0,0,0,10.5,S,1,1
139,0,3,0,20.5,0,0,7.25,S,1,1
140,0,2,0,18.0,0,0,13.0,S,1,1
142,1,1,1,35.0,1,0,83.475,S,2,0
143,0,3,0,29.0,0,0,7.775,S,1,1
144,0,2,0,59.0,0,0,13.5,S,1,1
145,1,3,1,5.0,4,2,31.3875,S,7,0
146,0,2,0,24.0,0,0,10.5,S,1,1
148,0,2,0,44.0,1,0,26.0,S,2,0
149,1,2,1,8.0,0,2,26.25,S,3,0
150,0,2,0,19.0,0,0,10.5,S,1,1
151,0,2,0,33.0,0,0,12.275,S,1,1
154,0,2,0,29.0,0,0,10.5,S,1,1
155,0,3,0,22.0,0,0,7.125,S,1,1
156,0,3,0,30.0,0,0,7.225,C,1,1
157,0,1,0,44.0,2,0,90.0,Q,3,0
158,0,3,1,25.0,0,0,7.775,S,1,1
159,1,2,1,24.0,0,2,14.5,S,3,0
160,1,1,0,37.0,1,1,52.5542,S,3,0
161,0,2,0,54.0,1,0,26.0,S,2,0
163,0,3,1,29.0,1,1,10.4625,S,3,0
164,0,1,0,62.0,0,0,26.55,S,1,1
165,0,3,0,30.0,1,0,16.1,S,2,0
166,0,3,1,41.0,0,2,20.2125,S,3,0
167,1,3,1,29.0,0,2,15.2458,C,3,0
169,1,1,1,30.0,0,0,86.5,S,1,1
170,1,1,1,35.0,0,0,512.3292,C,1,1
171,1,2,1,50.0,0,1,26.0,S,2,0
173,1,3,0,3.0,4,2,31.3875,S,7,0
174,0,1,0,52.0,1,1,79.65,S,3,0
175,0,1,0,40.0,0,0,0.0,S,1,1
177,0,2,0,36.0,0,0,10.5,S,1,1
178,0,3,0,16.0,4,1,39.6875,S,6,0
179,1,3,0,25.0,1,0,7.775,S,2,0
180,1,1,1,58.0,0,1,153.4625,S,2,0
181,1,1,1,35.0,0,0,135.6333,S,1,1
183,1,3,0,25.0,0,0,0.0,S,1,1
184,1,2,1,41.0,0,1,19.5,S,2,0
185,0,1,0,37.0,0,1,29.7,C,2,0
187,1,1,1,63.0,1,0,77.9583,S,2,0
188,0,3,1,45.0,0,0,7.75,S,1,1
190,0,3,0,7.0,4,1,29.125,Q,6,0
191,1,3,1,35.0,1,1,20.25,S,3,0
192,0,3,0,65.0,0,0,7.75,Q,1,1
193,0,3,0,28.0,0,0,7.8542,S,1,1
194,0,3,0,16.0,0,0,9.5,S,1,1
195,1,3,0,19.0,0,0,8.05,S,1,1
197,0,3,0,33.0,0,0,8.6625,C,1,1
198,1,3,0,30.0,0,0,9.5,S,1,1
199,0,3,0,22.0,0,0,7.8958,S,1,1
200,1,2,0,42.0,0,0,13.0,S,1,1
201,1,3,1,22.0,0,0,7.75,Q,1,1
202,1,1,1,26.0,0,0,78.85,S,1,1
203,1,1,1,19.0,1,0,91.0792,C,2,0
204,0,2,0,36.0,0,0,12.875,C,1,1
205,0,3,1,24.0,0,0,8.85,S,1,1
206,0,3,0,24.0,0,0,7.8958,S,1,1
208,0,3,0,23.5,0,0,7.2292,C,1,1
209,0,1,1,2.0,1,2,151.55,S,4,0
211,1,1,1,50.0,0,1,247.5208,C,2,0
214,0,3,0,19.0,0,0,0.0,S,1,1
217,1,1,0,0.92,1,2,151.55,S,4,0
219,1,1,1,17.0,1,0,108.9,C,2,0
220,0,2,0,30.0,1,0,24.0,C,2,0
221,1,1,1,30.0,0,0,56.9292,C,1,1
222,1,1,1,24.0,0,0,83.1583,C,1,1
223,1,1,1,18.0,2,2,262.375,C,5,0
224,0,2,1,26.0,1,1,26.0,S,3,0
225,0,3,0,28.0,0,0,7.8958,S,1,1
226,0,2,0,43.0,1,1,26.25,S,3,0
227,1,3,1,26.0,0,0,7.8542,S,1,1
228,1,2,1,24.0,1,0,26.0,S,2,0
229,0,2,0,54.0,0,0,14.0,S,1,1
230,1,1,1,31.0,0,2,164.8667,S,3,0
231,1,1,1,40.0,1,1,134.5,C,3,0
232,0,3,0,22.0,0,0,7.25,S,1,1
233,0,3,0,27.0,0,0,7.8958,S,1,1
234,1,2,1,30.0,0,0,12.35,Q,1,1
235,1,2,1,22.0,1,1,29.0,S,3,0
237,1,1,1,36.0,0,0,135.6333,C,1,1
238,0,3,0,61.0,0,0,6.2375,S,1,1
239,1,2,1,36.0,0,0,13.0,S,1,1
240,1,3,1,31.0,1,1,20.525,S,3,0
241,1,1,1,16.0,0,1,57.9792,C,2,0
243,0,1,0,45.5,0,0,28.5,S,1,1
244,0,1,0,38.0,0,1,153.4625,S,2,0
245,0,3,0,16.0,2,0,18.0,S,3,0
248,0,1,0,29.0,1,0,66.6,S,2,0
249,1,1,1,41.0,0,0,134.5,C,1,1
250,1,3,0,45.0,0,0,8.05,S,1,1
251,0,1,0,45.0,0,0,35.5,S,1,1
252,1,2,0,2.0,1,1,26.0,S,3,0
253,1,1,1,24.0,3,2,263.0,S,6,0
254,0,2,0,28.0,0,0,13.0,S,1,1
255,0,2,0,25.0,0,0,13.0,S,1,1
256,0,2,0,36.0,0,0,13.0,S,1,1
257,1,2,1,24.0,0,0,13.0,S,1,1
258,1,2,1,40.0,0,0,13.0,S,1,1
260,1,3,0,3.0,1,1,15.9,S,3,0
261,0,3,0,42.0,0,0,8.6625,S,1,1
262,0,3,0,23.0,0,0,9.225,S,1,1
264,0,3,0,15.0,1,1,7.2292,C,3,0
265,0,3,0,25.0,1,0,17.8,S,2,0
267,0,3,0,28.0,0,0,9.5,S,1,1
268,1,1,1,22.0,0,1,55.0,S,2,0
269,0,2,1,38.0,0,0,13.0,S,1,1
272,0,3,0,40.0,1,4,27.9,S,6,0
273,0,2,0,29.0,1,0,27.7208,C,2,0
274,0,3,1,45.0,0,1,14.4542,C,2,0
275,0,3,0,35.0,0,0,7.05,S,1,1
277,0,3,0,30.0,0,0,7.25,S,1,1
278,1,1,1,60.0,1,0,75.25,C,2,0
281,1,1,1,24.0,0,0,69.3,C,1,1
282,1,1,0,25.0,1,0,55.4417,C,2,0
283,0,3,0,18.0,1,0,6.4958,S,2,0
284,0,3,0,19.0,0,0,8.05,S,1,1
285,0,1,0,22.0,0,0,135.6333,C,1,1
286,0,3,1,3.0,3,1,21.075,S,5,0
288,1,3,1,22.0,0,0,7.25,S,1,1
289,0,1,0,27.0,0,2,211.5,C,3,0
290,0,3,0,20.0,0,0,4.0125,C,1,1
291,0,3,0,19.0,0,0,7.775,S,1,1
292,1,1,1,42.0,0,0,227.525,C,1,1
293,1,3,1,1.0,0,2,15.7417,C,3,0
294,0,3,0,32.0,0,0,7.925,S,1,1
295,1,1,1,35.0,1,0,52.0,S,2,0
297,0,2,0,18.0,0,0,73.5,S,1,1
298,0,3,0,1.0,5,2,46.9,S,8,0
299,1,2,1,36.0,0,0,13.0,S,1,1
301,1,2,1,17.0,0,0,12.0,C,1,1
302,1,1,0,36.0,1,2,120.0,S,4,0
303,1,3,0,21.0,0,0,7.7958,S,1,1
304,0,3,0,28.0,2,0,7.925,S,3,0
305,1,1,1,23.0,1,0,113.275,C,2,0
306,1,3,1,24.0,0,2,16.7,S,3,0
307,0,3,0,22.0,0,0,7.7958,S,1,1
308,0,3,1,31.0,0,0,7.8542,S,1,1
309,0,2,0,46.0,0,0,26.0,S,1,1
310,0,2,0,23.0,0,0,10.5,S,1,1
311,1,2,1,28.0,0,0,12.65,S,1,1
312,1,3,0,39.0,0,0,7.925,S,1,1
313,0,3,0,26.0,0,0,8.05,S,1,1
314,0,3,1,21.0,1,0,9.825,S,2,0
315,0,3,0,28.0,1,0,15.85,S,2,0
316,0,3,1,20.0,0,0,8.6625,S,1,1
317,0,2,0,34.0,1,0,21.0,S,2,0
318,0,3,0,51.0,0,0,7.75,S,1,1
319,1,2,0,3.0,1,1,18.75,S,3,0
320,0,3,0,21.0,0,0,7.775,S,1,1
324,1,1,1,33.0,1,0,90.0,Q,2,0
326,1,3,0,44.0,0,0,7.925,S,1,1
328,1,2,1,34.0,1,1,32.5,S,3,0
329,1,2,1,18.0,0,2,13.0,S,3,0
330,0,2,0,30.0,0,0,13.0,S,1,1
331,0,3,1,10.0,0,2,24.15,S,3,0
333,0,3,0,21.0,0,0,7.7333,Q,1,1
334,0,3,0,29.0,0,0,7.875,S,1,1
335,0,3,1,28.0,1,1,14.4,S,3,0
336,0,3,0,18.0,1,1,20.2125,S,3,0
338,1,2,1,28.0,1,0,26.0,S,2,0
339,1,2,1,19.0,0,0,26.0,S,1,1
341,1,3,0,32.0,0,0,8.05,S,1,1
342,1,1,0,28.0,0,0,26.55,S,1,1
344,1,2,1,42.0,1,0,26.0,S,2,0
345,0,3,0,17.0,0,0,7.125,S,1,1
346,0,1,0,50.0,1,0,55.9,S,2,0
347,1,1,1,14.0,1,2,120.0,S,4,0
348,0,3,1,21.0,2,2,34.375,S,5,0
349,1,2,1,24.0,2,3,18.75,S,6,0
350,0,1,0,64.0,1,4,263.0,S,6,0
351,0,2,0,31.0,0,0,10.5,S,1,1
352,1,2,1,45.0,1,1,26.25,S,3,0
353,0,3,0,20.0,0,0,9.5,S,1,1
354,0,3,0,25.0,1,0,7.775,S,2,0
355,1,2,1,28.0,0,0,13.0,S,1,1
357,1,1,0,4.0,0,2,81.8583,S,3,0
358,1,2,1,13.0,0,1,19.5,S,2,0
359,1,1,0,34.0,0,0,26.55,S,1,1
360,1,3,1,5.0,2,1,19.2583,C,4,0
361,1,1,0,52.0,0,0,30.5,S,1,1
362,0,2,0,36.0,1,2,27.75,S,4,0
364,0,1,0,30.0,0,0,27.75,C,1,1
365,1,1,0,49.0,1,0,89.1042,C,2,0
367,1,3,0,29.0,0,0,7.8958,C,1,1
368,0,1,0,65.0,0,0,26.55,S,1,1
370,1,2,1,50.0,0,0,10.5,S,1,1
372,1,1,0,48.0,0,0,26.55,S,1,1
373,0,3,0,34.0,0,0,8.05,S,1,1
374,0,1,0,47.0,0,0,38.5,S,1,1
375,0,2,0,48.0,0,0,13.0,S,1,1
377,0,3,0,38.0,0,0,7.05,S,1,1
379,0,1,0,56.0,0,0,26.55,S,1,1
381,1,3,1,0.75,2,1,19.2583,C,4,0
383,0,3,0,38.0,0,0,8.6625,S,1,1
384,1,2,1,33.0,1,2,27.75,S,4,0
385,1,2,1,23.0,0,0,13.7917,C,1,1
386,0,3,1,22.0,0,0,9.8375,S,1,1
388,0,2,0,34.0,1,0,21.0,S,2,0
389,0,3,0,29.0,1,0,7.0458,S,2,0
390,0,3,0,22.0,0,0,7.5208,S,1,1
391,1,3,1,2.0,0,1,12.2875,S,2,0
392,0,3,0,9.0,5,2,46.9,S,8,0
394,0,3,0,50.0,0,0,8.05,S,1,1
395,1,3,1,63.0,0,0,9.5875,S,1,1
396,1,1,0,25.0,1,0,91.0792,C,2,0
398,1,1,1,35.0,1,0,90.0,S,2,0
399,0,1,0,58.0,0,0,29.7,C,1,1
400,0,3,0,30.0,0,0,8.05,S,1,1
401,1,3,0,9.0,1,1,15.9,S,3,0
403,0,3,0,21.0,0,0,7.25,S,1,1
404,0,1,0,55.0,0,0,30.5,S,1,1
405,0,1,0,71.0,0,0,49.5042,C,1,1
406,0,3,0,21.0,0,0,8.05,S,1,1
408,1,1,1,54.0,1,0,78.2667,C,2,0
410,0,1,1,25.0,1,2,151.55,S,4,0
411,0,3,0,24.0,0,0,7.7958,S,1,1
412,0,3,0,17.0,0,0,8.6625,S,1,1
413,0,3,1,21.0,0,0,7.75,Q,1,1
415,0,3,1,37.0,0,0,9.5875,S,1,1
416,1,1,1,16.0,0,0,86.5,S,1,1
417,0,1,0,18.0,1,0,108.9,C,2,0
418,1,2,1,33.0,0,2,26.0,S,3,0
420,0,3,0,28.0,0,0,22.525,S,1,1
421,1,3,0,26.0,0,0,56.4958,S,1,1
422,1,3,0,29.0,0,0,7.75,Q,1,1
424,1,1,0,36.0,0,0,26.2875,S,1,1
425,1,1,1,54.0,1,0,59.4,C,2,0
426,0,3,0,24.0,0,0,7.4958,S,1,1
427,0,1,0,47.0,0,0,34.0208,S,1,1
428,1,2,1,34.0,0,0,10.5,S,1,1
430,1,2,1,36.0,1,0,26.0,S,2,0
431,0,3,0,32.0,0,0,7.8958,S,1,1
432,1,1,1,30.0,0,0,93.5,S,1,1
433,0,3,0,22.0,0,0,7.8958,S,1,1
435,1,1,1,44.0,0,1,57.9792,C,2,0
437,0,3,0,40.5,0,0,7.75,Q,1,1
438,1,2,1,50.0,0,0,10.5,S,1,1
440,0,3,0,39.0,0,0,7.925,S,1,1
441,0,2,0,23.0,2,1,11.5,S,4,0
442,1,2,1,2.0,1,1,26.0,S,3,0
444,0,3,0,17.0,1,1,7.2292,C,3,0
446,0,3,1,30.0,0,0,8.6625,S,1,1
447,1,2,1,7.0,0,2,26.25,S,3,0
448,0,1,0,45.0,0,0,26.55,S,1,1
449,1,1,1,30.0,0,0,106.425,C,1,1
451,1,1,1,22.0,0,2,49.5,C,3,0
452,1,1,1,36.0,0,2,71.0,S,3,0
453,0,3,1,9.0,4,2,31.275,S,7,0
454,0,3,1,11.0,4,2,31.275,S,7,0
455,1,2,0,32.0,1,0,26.0,S,2,0
456,0,1,0,50.0,1,0,106.425,C,2,0
457,0,1,0,64.0,0,0,26.0,S,1,1
458,1,2,1,19.0,1,0,26.0,S,2,0
460,0,3,0,33.0,1,1,20.525,S,3,0
461,1,2,0,8.0,1,1,36.75,S,3,0
462,1,1,0,17.0,0,2,110.8833,C,3,0
463,0,2,0,27.0,0,0,26.0,S,1,1
465,1,3,0,22.0,0,0,7.225,C,1,1
466,1,3,1,22.0,0,0,7.775,S,1,1
467,0,1,0,62.0,0,0,26.55,S,1,1
468,1,1,1,48.0,1,0,39.6,C,2,0
470,1,1,1,39.0,1,1,79.65,S,3,0
471,1,3,1,36.0,1,0,17.4,S,2,0
473,0,3,0,40.0,0,0,7.8958,S,1,1
474,0,2,0,28.0,0,0,13.5,S,1,1
477,0,3,0,24.0,2,0,24.15,S,3,0
478,0,3,0,19.0,0,0,7.8958,S,1,1
479,0,3,1,29.0,0,4,21.075,S,5,0
481,1,3,0,32.0,0,0,7.8542,S,1,1
482,1,2,0,62.0,0,0,10.5,S,1,1
483,1,1,1,53.0,2,0,51.4792,S,3,0
484,1,1,0,36.0,0,0,26.3875,S,1,1
486,0,3,0,16.0,0,0,8.05,S,1,1
487,0,3,0,19.0,0,0,14.5,S,1,1
488,1,2,1,34.0,0,0,13.0,S,1,1
489,1,1,1,39.0,1,0,55.9,S,2,0
491,1,3,0,32.0,0,0,7.925,S,1,1
492,1,2,1,25.0,1,1,30.0,S,3,0
493,1,1,1,39.0,1,1,110.8833,C,3,0
494,0,2,0,54.0,0,0,26.0,S,1,1
495,0,1,0,36.0,0,0,40.125,C,1,1
497,1,1,1,18.0,0,2,79.65,S,3,0
498,0,2,0,47.0,0,0,15.0,S,1,1
499,1,1,0,60.0,1,1,79.2,C,3,0
500,0,3,0,22.0,0,0,8.05,S,1,1
502,0,3,0,35.0,0,0,7.125,S,1,1
503,1,1,1,52.0,1,0,78.2667,C,2,0
504,0,3,0,47.0,0,0,7.25,S,1,1
506,0,2,0,37.0,1,0,26.0,S,2,0
507,0,3,0,36.0,1,1,24.15,S,3,0
509,0,3,0,49.0,0,0,0.0,S,1,1
511,1,1,0,49.0,1,0,56.9292,C,2,0
512,1,2,1,24.0,2,1,27.0,S,4,0
515,0,3,0,44.0,0,0,8.05,S,1,1
516,1,1,0,35.0,0,0,26.55,C,1,1
517,0,3,0,36.0,1,0,15.55,S,2,0
518,0,3,0,30.0,0,0,7.8958,S,1,1
519,1,1,0,27.0,0,0,30.5,S,1,1
520,1,2,1,22.0,1,2,41.5792,C,4,0
521,1,1,1,40.0,0,0,153.4625,S,1,1
522,0,3,1,39.0,1,5,31.275,S,7,0
526,0,3,0,35.0,0,0,8.05,S,1,1
527,1,2,1,24.0,1,2,65.0,S,4,0
528,0,3,0,34.0,1,1,14.4,S,3,0
529,0,3,1,26.0,1,0,16.1,S,2,0
530,1,2,1,4.0,2,1,39.0,S,4,0
531,0,2,0,26.0,0,0,10.5,S,1,1
532,0,3,0,27.0,1,0,14.4542,C,2,0
533,1,1,0,42.0,1,0,52.5542,S,2,0
534,1,3,0,20.0,1,1,15.7417,C,3,0
535,0,3,0,21.0,0,0,7.8542,S,1,1
536,0,3,0,21.0,0,0,16.1,S,1,1
537,0,1,0,61.0,0,0,32.3208,S,1,1
538,0,2,0,57.0,0,0,12.35,Q,1,1
539,1,1,1,21.0,0,0,77.9583,S,1,1
540,0,3,0,26.0,0,0,7.8958,S,1,1
542,1,1,0,80.0,0,0,30.0,S,1,1
543,0,3,0,51.0,0,0,7.0542,S,1,1
544,1,1,0,32.0,0,0,30.5,C,1,1
546,0,3,1,9.0,3,2,27.9,S,6,0
547,1,2,1,28.0,0,0,13.0,S,1,1
548,0,3,0,32.0,0,0,7.925,S,1,1
549,0,2,0,31.0,1,1,26.25,S,3,0
550,0,3,1,41.0,0,5,39.6875,S,6,0
552,0,3,0,20.0,0,0,7.8542,S,1,1
553,1,1,1,24.0,0,0,69.3,C,1,1
554,0,3,1,2.0,3,2,27.9,S,6,0
556,1,3,1,0.75,2,1,19.2583,C,4,0
557,1,1,0,48.0,1,0,76.7292,C,2,0
558,0,3,0,19.0,0,0,7.8958,S,1,1
559,1,1,0,56.0,0,0,35.5,C,1,1
561,1,3,1,23.0,0,0,7.55,S,1,1
563,1,2,1,18.0,0,1,23.0,S,2,0
564,0,3,0,21.0,0,0,8.4333,S,1,1
566,0,3,1,18.0,0,0,6.75,Q,1,1
567,0,2,0,24.0,2,0,73.5,S,3,0
569,0,3,1,32.0,1,1,15.5,Q,3,0
570,0,2,0,23.0,0,0,13.0,S,1,1
571,0,1,0,58.0,0,2,113.275,C,3,0
572,1,1,0,50.0,2,0,133.65,S,3,0
573,0,3,0,40.0,0,0,7.225,C,1,1
574,0,1,0,47.0,0,0,25.5875,S,1,1
575,0,3,0,36.0,0,0,7.4958,S,1,1
576,1,3,0,20.0,1,0,7.925,S,2,0
577,0,2,0,32.0,2,0,73.5,S,3,0
578,0,2,0,25.0,0,0,13.0,S,1,1
580,0,3,0,43.0,0,0,8.05,S,1,1
582,1,2,1,40.0,1,1,39.0,S,3,0
583,0,1,0,31.0,1,0,52.0,S,2,0
584,0,2,0,70.0,0,0,10.5,S,1,1
585,1,2,0,31.0,0,0,13.0,S,1,1
587,0,3,0,18.0,0,0,7.775,S,1,1
588,0,3,0,24.5,0,0,8.05,S,1,1
589,1,3,1,18.0,0,0,9.8417,S,1,1
590,0,3,1,43.0,1,6,46.9,S,8,0
591,1,1,0,36.0,0,1,512.3292,C,2,0
593,1,1,0,27.0,0,0,76.7292,C,1,1
594,0,3,0,20.0,0,0,9.225,S,1,1
595,0,3,0,14.0,5,2,46.9,S,8,0
596,0,2,0,60.0,1,1,39.0,S,3,0
597,0,2,0,25.0,1,2,41.5792,C,4,0
598,0,3,0,14.0,4,1,39.6875,S,6,0
599,0,3,0,19.0,0,0,10.1708,S,1,1
600,0,3,0,18.0,0,0,7.7958,S,1,1
601,1,1,1,15.0,0,1,211.3375,S,2,0
602,1,1,0,31.0,1,0,57.0,S,2,0
603,1,3,1,4.0,0,1,13.4167,C,2,0
605,0,3,0,25.0,0,0,7.225,C,1,1
606,0,1,0,60.0,0,0,26.55,S,1,1
607,0,2,0,52.0,0,0,13.5,S,1,1
608,0,3,0,44.0,0,0,8.05,S,1,1
610,0,1,0,49.0,1,1,110.8833,C,3,0
611,0,3,0,42.0,0,0,7.65,S,1,1
612,1,1,1,18.0,1,0,227.525,C,2,0
613,1,1,0,35.0,0,0,26.2875,S,1,1
614,0,3,1,18.0,0,1,14.4542,C,2,0
615,0,3,0,25.0,0,0,7.7417,Q,1,1
616,0,3,0,26.0,1,0,7.8542,S,2,0
617,0,2,0,39.0,0,0,26.0,S,1,1
618,1,2,1,45.0,0,0,13.5,S,1,1
619,1,1,0,42.0,0,0,26.2875,S,1,1
620,1,1,1,22.0,0,0,151.55,S,1,1
622,1,1,1,24.0,0,0,49.5042,C,1,1
624,1,1,0,48.0,1,0,52.0,S,2,0
625,0,3,0,29.0,0,0,9.4833,S,1,1
626,0,2,0,52.0,0,0,13.0,S,1,1
627,0,3,0,19.0,0,0,7.65,S,1,1
628,1,1,1,38.0,0,0,227.525,C,1,1
629,1,2,1,27.0,0,0,10.5,S,1,1
631,0,3,0,33.0,0,0,7.775,S,1,1
632,1,2,1,6.0,0,1,33.0,S,2,0
633,0,3,0,17.0,1,0,7.0542,S,2,0
634,0,2,0,34.0,0,0,13.0,S,1,1
635,0,2,0,50.0,0,0,13.0,S,1,1
636,1,1,0,27.0,1,0,53.1,S,2,0
637,0,3,0,20.0,0,0,8.6625,S,1,1
638,1,2,1,30.0,3,0,21.0,S,4,0
640,0,2,0,25.0,1,0,26.0,S,2,0
641,0,3,1,25.0,1,0,7.925,S,2,0
642,1,1,1,29.0,0,0,211.3375,S,1,1
643,0,3,0,11.0,0,0,18.7875,C,1,1
645,0,2,0,23.0,0,0,13.0,S,1,1
646,0,2,0,23.0,0,0,13.0,S,1,1
647,0,3,0,28.5,0,0,16.1,S,1,1
648,0,3,1,48.0,1,3,34.375,S,5,0
649,1,1,0,35.0,0,0,512.3292,C,1,1
653,0,1,0,36.0,1,0,78.85,S,2,0
654,1,1,1,21.0,2,2,262.375,C,5,0
655,0,3,0,24.0,1,0,16.1,S,2,0
656,1,3,0,31.0,0,0,7.925,S,1,1
657,0,1,0,70.0,1,1,71.0,S,3,0
658,0,3,0,16.0,1,1,20.25,S,3,0
659,1,2,1,30.0,0,0,13.0,S,1,1
